coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
1.18228493455503	3.26181873685838	0.269277053486602	4.39058924348287	1.13043907079134e-05	1.92420252246084	5.52928361122492
0.0527625765996279	1.05417932856424	0.39862588483491	0.132361140123852	0.894698649877426	0.482618013288992	2.30263692231211
-0.104301168659722	0.900953917473891	0.32595605365636	-0.319985370695653	0.748979420485165	0.475607048347451	1.70669876367887
0.552989184160197	1.73844178155557	0.285512541738164	1.93682974763094	0.0527661583043517	0.993416651041257	3.04220774303549
0.248838116774981	1.28253439545961	0.350380190301878	0.710194593366104	0.477583473167364	0.645393908905722	2.54866749257967
-1.53361958732298	0.215753314311286	0.148339374218266	-10.3385874141981	4.71435205691038e-25	0.161320950290035	0.288552060675407
-15.4666797050248	1.91825505240461e-07	16.5428087130477	-0.934948833255012	0.349814668974892	1.59089693483555e-21	23129734.9658681
-0.111210589805901	0.89475030379461	0.0752091049142616	-1.47868519287234	0.139224471558936	0.772118126742726	1.03685961825282
0.560825686005663	1.75211860301132	0.0890660433143424	6.29673964550475	3.03971190192452e-10	1.4714663915779	2.08629950136094
0.236868078365521	1.26727392589978	0.0692525111843036	3.42035363504924	0.000625397793079788	1.10642671903835	1.45150435689159
0.426833998594324	1.53239826034384	0.0831265242298043	5.13475094200181	2.82517903012513e-07	1.30200971446335	1.80355369258723
-0.503254871502232	0.604559689720204	0.0754099684580672	-6.67358549264046	2.49628050266359e-11	0.52149494709936	0.700855148199455
-0.280681827093506	0.755268603261516	0.161574799607912	-1.73716339289683	0.0823583344274631	0.550260973987992	1.0366547693514
0.0707853073190237	1.07335076057722	0.151580097769959	0.466982858306695	0.640512142239748	0.797473857772368	1.4446641027831
0.716859319448593	2.0479910139514	0.145482469114803	4.92746187090696	8.33046733345492e-07	1.53990221799562	2.72372306774456
1.24067517218057	3.45794738665179	0.162226943061884	7.64777507831911	2.04486478553659e-14	2.51611540557621	4.75232578853577
-0.000815616202034288	0.99918471632245	0.000401840986122115	-2.02969888638097	0.0423871561792037	0.998398074392398	0.999971978050899
-0.0101598262182893	0.989891610472773	0.00162246463240448	-6.26197084076494	3.80142034552275e-10	0.986748782326769	0.993044448632402
0.376297563899641	1.45688058434626	0.173957717586139	2.1631553294743	0.0305292347132282	1.03597882309256	2.04878805409274
-1.06612926514669	0.344338785338356	0.133904538647254	-7.96186056064319	1.69471397942884e-15	0.264853790753626	0.447677938650276
-0.468105099051096	0.626187708465092	0.167548380529006	-2.79385033488913	0.00520845780256345	0.450907125628615	0.869604900756706
-18.4304950054579	9.90233741193566e-09	19.7223618121879	-0.934497357921316	0.3500473982231	1.61448089447618e-25	607354887.600793
-1.06984108019208	0.343063032598065	0.14990823777212	-7.13663969433339	9.56401049514345e-13	0.255724182557871	0.460231187986092
-1.47579356509063	0.228597248251101	0.249034310333661	-5.92606522014311	3.10279395615688e-09	0.140311287254302	0.37243405666477
0.196352937043568	1.21695633852069	0.210180478484506	0.93421110494828	0.350195008520157	0.806063116652613	1.83730367916578
1.39213382451557	4.0234261851901	1.62059759171722	0.859024986604129	0.390326730782088	0.167934864060907	96.3942678501963
-1.12913508265951	0.323312774349812	0.18544080898404	-6.08892448671689	1.13671715012986e-09	0.224789158478991	0.465018645761523
-1.60652244147705	0.200583945015149	1.04209871261001	-1.54162213429225	0.123165443597253	0.0260171748853747	1.54643688928953
1.2684772936301	3.55543455554015	0.141970964656312	8.93476561704618	4.08042262673621e-19	2.69182476800058	4.69611359142017
0.128112245616305	1.13668058294934	2.52699562779984	0.0506974544027398	0.959566605134946	0.00802889656962709	160.924074242255
